Batch Num,Avg. Time,Mission Time,FM1,FM2
238,36:09.1,2.592126846,-150,32
239,36:09.1,2.603060484,-150,32
240,36:09.1,2.613986969,-150,32
241,36:09.1,2.630705357,-150,32
242,36:09.2,2.645107508,-150,32
243,36:09.2,2.654555798,-150,32
244,36:09.2,2.664894581,-150,32
245,36:09.2,2.674427986,-150,32
246,36:09.2,2.684539795,-150,32
247,36:09.2,2.694509029,-150,32
248,36:09.2,2.706265211,-150,32
249,36:09.2,2.71801424,-150,32
250,36:09.2,2.729519606,-150,32
251,36:09.3,2.740190506,-150,32
252,36:09.3,2.751140118,-150,32
253,36:09.3,2.762582779,-150,32
254,36:09.3,2.77397871,-150,32
255,36:09.3,2.785702944,-150,32
256,36:09.3,2.796228886,-150,32
257,36:09.3,2.805626631,-150,32
258,36:09.3,2.817292452,-150,32
259,36:09.3,2.828258753,-150,32
260,36:09.4,2.839648247,-150,32
261,36:09.4,2.8505404,-150,32
262,36:09.4,2.860594034,-150,32
263,36:09.4,2.870347977,-150,32
264,36:09.4,2.882967234,-150,32
265,36:09.4,2.894887924,-150,32
266,36:09.4,2.906522274,-150,32
267,36:09.4,2.916661501,-150,32
268,36:09.4,2.926908016,-150,32
269,36:09.5,2.939200878,-150,32
270,36:09.5,2.950866699,-150,32
271,36:09.5,2.96167469,-150,32
272,36:09.5,2.974358559,-150,32
273,36:09.5,2.985853195,-150,32
274,36:09.5,2.996105194,-150,32
275,36:09.5,3.008064747,-150,32
276,36:09.5,3.021005154,-150,32
